bill_id,history_trace
1,"{""2022-12-05 >> Read. Adopted. (Ayes 77. Noes 0.)."",""2022-12-05 >> Introduced.""}"
2,"{""2022-12-05 >> Introduced."",""2022-12-05 >> Read. Adopted. (Ayes 61. Noes 16.).""}"
3,"{""2022-12-05 >> Introduced."",""2022-12-05 >> Read. Adopted.""}"
4,"{""2022-12-05 >> Read. Adopted. (Ayes 77. Noes 0.)."",""2022-12-05 >> Introduced.""}"
5,"{""2022-12-05 >> Introduced."",""2022-12-05 >> Held at desk."",""2022-12-05 >> Read. Adopted. (Page 11.)""}"
6,"{""2022-12-05 >> Read. Adopted. (Page 5.)"",""2022-12-05 >> Introduced."",""2022-12-05 >> Held at desk.""}"
7,"{""2022-12-05 >> Introduced."",""2022-12-05 >> Held at desk."",""2022-12-05 >> Read. Adopted. (Page 4.)""}"
8,"{""2022-12-05 >> Introduced."",""2022-12-05 >> Held at desk."",""2022-12-05 >> Read. Adopted. (Page 9.)""}"
9,"{""2023-01-04 >> Introduced."",""2023-01-04 >> Held at desk."",""2023-01-05 >> Read. Adopted. (Page 35.)""}"
10,"{""2022-12-13 >> Introduced. Referred to Com. on RLS."",""2023-01-11 >> From committee: Ordered to third reading."",""2023-01-13 >> Read. Adopted. (Ayes 36. Noes 0. Page 60.)""}"
11,"{""2023-01-04 >> Introduced. Referred to Com. on RLS."",""2023-01-18 >> From committee: Ordered to third reading."",""2023-01-24 >> Read third time and amended."",""2023-01-24 >> Ordered to second reading."",""2023-01-25 >> Read second time. Ordered to third reading."",""2023-01-30 >> Read. Adopted. (Ayes 38. Noes 0. Page 124.)""}"
12,"{""2023-02-07 >> Introduced. Referred to Com. on RLS."",""2023-02-15 >> From committee: Ordered to third reading."",""2023-02-17 >> Read. Adopted. (Ayes 36. Noes 0. Page 219.)""}"
13,"{""2023-02-22 >> Introduced. Referred to Com. on RLS."",""2023-03-01 >> From committee: Ordered to third reading."",""2023-03-02 >> Read. Adopted. (Ayes 34. Noes 0. Page 280.)""}"
14,"{""2023-03-15 >> Introduced.""}"
15,"{""2023-02-15 >> Introduced. Referred to Com. on RLS."",""2023-02-22 >> From committee: Ordered to third reading."",""2023-03-13 >> Read. Adopted. (Ayes 37. Noes 0. Page 327.)""}"
16,"{""2023-03-06 >> Introduced. Referred to Com. on RLS."",""2023-03-15 >> From committee: Ordered to third reading."",""2023-03-20 >> Read. Adopted. (Ayes 38. Noes 0. Page 398.)""}"
17,"{""2023-03-01 >> Introduced. Referred to Com. on RLS."",""2023-03-08 >> From committee: Ordered to third reading."",""2023-03-23 >> Read. Adopted. (Ayes 39. Noes 0. Page 457.)""}"
18,"{""2023-02-13 >> Read first time. To print."",""2023-02-14 >> From printer. May be heard in committee March 16."",""2023-02-23 >> Referred to Com. on B. & P."",""2024-01-31 >> Died pursuant to Art. IV, Sec. 10(c) of the Constitution."",""2024-02-01 >> From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.""}"
19,"{""2023-01-09 >> Read first time. To print."",""2023-01-10 >> From printer. May be heard in committee February 9."",""2023-01-26 >> Referred to Com. on BUDGET."",""2023-02-01 >> From committee chair, with author's amendments: Amend, and re-refer to Com. on BUDGET. Read second time and amended."",""2023-02-02 >> Re-referred to Com. on BUDGET."",""2023-03-20 >> Ordered to second reading."",""2023-03-20 >> Assembly Rule 96 suspended. (Ayes 61. Noes 17. Page 732.)"",""2023-03-20 >> Withdrawn from committee."",""2023-03-21 >> Read second time. Ordered to third reading."",""2023-03-23 >> Read third time. Passed. Ordered to the Senate. (Ayes 60. Noes 14. Page 859.)"",""2023-03-23 >> In Senate. Read first time. To Com. on RLS. for assignment."",""2023-04-12 >> Referred to Com. on B. & F.R."",""2024-06-19 >> In committee: Hearing postponed by committee."",""2024-06-20 >> In committee: Hearing postponed by committee."",""2024-06-22 >> From committee chair, with author's amendments: Amend, and re-refer to committee. Read second time, amended, and re-referred to Com. on B. & F.R."",""2024-06-26 >> Assembly Rule 63 suspended."",""2024-06-26 >> From committee: Do pass. (Ayes 18. Noes 0.) (June 26)."",""2024-06-26 >> Read second time. Ordered to third reading."",""2024-06-26 >> Read third time. Passed. Ordered to the Assembly. (Ayes 39. Noes 0. Page 4769.)."",""2024-06-26 >> In Assembly. Concurrence in Senate amendments pending. May be considered on or after June 28 pursuant to Assembly Rule 77."",""2024-06-26 >> Assembly Rule 77 suspended."",""2024-06-26 >> Senate amendments concurred in. To Engrossing and Enrolling. (Ayes 71. Noes 2.)."",""2024-06-27 >> Enrolled and presented to the Governor at 4:30 p.m."",""2024-07-02 >> Approved by the Governor."",""2024-07-02 >> Chaptered by Secretary of State - Chapter 46, Statutes of 2024.""}"
20,"{""2022-12-05 >> Read first time. To print."",""2022-12-06 >> From printer. May be heard in committee January 5."",""2023-01-26 >> Referred to Coms. on ELECTIONS and G.O."",""2023-01-26 >> From committee chair, with author's amendments: Amend, and re-refer to Com. on ELECTIONS. Read second time and amended."",""2023-01-30 >> Re-referred to Com. on ELECTIONS."",""2023-03-15 >> In committee: Set, first hearing. Failed passage."",""2023-03-15 >> In committee: Reconsideration refused."",""2023-03-20 >> From committee: Without further action pursuant to Joint Rule 62(a).""}"
21,"{""2023-01-18 >> Introduced. Read first time. To Com. on RLS. for assignment. To print."",""2023-01-19 >> From printer. May be acted upon on or after February 18."",""2023-01-25 >> Referred to Com. on B. & F.R."",""2023-03-16 >> Ordered to second reading."",""2023-03-16 >> Withdrawn from committee. (Ayes 28. Noes 8. Page 357.)"",""2023-03-20 >> Read second time. Ordered to third reading."",""2023-03-27 >> Read third time. Passed. (Ayes 29. Noes 8. Page 506.) Ordered to the Assembly."",""2023-03-27 >> In Assembly. Read first time. Held at Desk."",""2023-03-30 >> Referred to Com. on BUDGET."",""2024-06-22 >> From committee with author's amendments. Read second time and amended. Re-referred to Com. on BUDGET."",""2024-06-24 >> Assembly Rule 96 suspended. (Ayes 55. Noes 14. Page 5978.)"",""2024-06-24 >> Ordered to second reading."",""2024-06-24 >> Withdrawn from committee."",""2024-06-25 >> Read second time. Ordered to third reading."",""2024-07-01 >> Re-referred to Com. on BUDGET pursuant to Assembly Rule 97.""}"
22,"{""2023-02-17 >> Read first time. To print."",""2023-02-18 >> From printer. May be heard in committee March 20."",""2024-02-01 >> Died at Desk.""}"
23,"{""2023-02-15 >> Read first time. To print."",""2023-02-16 >> From printer. May be heard in committee March 18."",""2023-03-23 >> From committee chair, with author's amendments: Amend, and re-refer to Com. on HUM. S. Read second time and amended."",""2023-03-23 >> Referred to Coms. on HUM. S. and JUD."",""2023-03-27 >> Re-referred to Com. on HUM. S."",""2023-04-13 >> From committee chair, with author's amendments: Amend, and re-refer to Com. on HUM. S. Read second time and amended."",""2023-04-17 >> Re-referred to Com. on HUM. S."",""2023-04-17 >> Re-referred to Com. on JUD. pursuant to Assembly Rule 96."",""2023-04-18 >> In committee: Set, first hearing. Hearing canceled at the request of author."",""2024-01-31 >> Died pursuant to Art. IV, Sec. 10(c) of the Constitution."",""2024-02-01 >> From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.""}"
24,"{""2023-01-18 >> Introduced. Read first time. To Com. on RLS. for assignment. To print."",""2023-01-19 >> From printer. May be acted upon on or after February 18."",""2023-01-25 >> Referred to Com. on B. & F.R."",""2023-03-16 >> Ordered to second reading."",""2023-03-16 >> Withdrawn from committee. (Ayes 28. Noes 8. Page 357.)"",""2023-03-20 >> Read second time. Ordered to third reading."",""2023-03-27 >> In Assembly. Read first time. Held at Desk."",""2023-03-27 >> Read third time. Passed. (Ayes 29. Noes 8. Page 514.) Ordered to the Assembly."",""2023-03-30 >> Referred to Com. on BUDGET.""}"
25,"{""2023-01-18 >> Introduced. Read first time. To Com. on RLS. for assignment. To print."",""2023-01-19 >> From printer. May be acted upon on or after February 18."",""2023-01-25 >> Referred to Com. on B. & F.R."",""2023-03-16 >> Ordered to second reading."",""2023-03-16 >> Withdrawn from committee. (Ayes 28. Noes 8. Page 357.)"",""2023-03-20 >> Read second time. Ordered to third reading."",""2023-03-27 >> In Assembly. Read first time. Held at Desk."",""2023-03-27 >> Read third time. Passed. (Ayes 29. Noes 8. Page 510.) Ordered to the Assembly."",""2023-03-30 >> Referred to Com. on BUDGET."",""2024-06-22 >> From committee with author's amendments. Read second time and amended. Re-referred to Com. on BUDGET."",""2024-06-24 >> Withdrawn from committee."",""2024-06-24 >> Ordered to second reading."",""2024-06-24 >> Assembly Rule 96 suspended. (Ayes 55. Noes 14. Page 5978.)"",""2024-06-25 >> Read second time. Ordered to third reading."",""2024-06-26 >> In Senate. Concurrence in Assembly amendments pending."",""2024-06-26 >> Read third time. Passed. (Ayes 59. Noes 7. Page 6034.) Ordered to the Senate."",""2024-06-26 >> Assembly amendments concurred in. (Ayes 32. Noes 7. Page 4779.) Ordered to engrossing and enrolling."",""2024-06-27 >> Enrolled and presented to the Governor at 11 a.m."",""2024-07-02 >> Approved by the Governor."",""2024-07-02 >> Chaptered by Secretary of State. Chapter 74, Statutes of 2024.""}"
26,"{""2023-01-09 >> Read first time. To print."",""2023-01-10 >> From printer. May be heard in committee February 9."",""2023-01-26 >> Referred to Com. on BUDGET."",""2023-02-01 >> From committee chair, with author's amendments: Amend, and re-refer to Com. on BUDGET. Read second time and amended."",""2023-02-02 >> Re-referred to Com. on BUDGET."",""2023-03-20 >> Assembly Rule 96 suspended. (Ayes 61. Noes 17. Page 732.)"",""2023-03-20 >> Ordered to second reading."",""2023-03-20 >> Withdrawn from committee."",""2023-03-21 >> Read second time. Ordered to third reading."",""2023-03-23 >> Read third time. Passed. Ordered to the Senate. (Ayes 60. Noes 14. Page 872.)"",""2023-03-23 >> In Senate. Read first time. To Com. on RLS. for assignment."",""2023-04-12 >> Referred to Com. on B. & F.R.""}"
27,"{""2023-02-15 >> Read first time. To print."",""2023-02-16 >> From printer. May be heard in committee March 18."",""2023-03-09 >> Referred to Com. on B. & F."",""2023-03-09 >> From committee chair, with author's amendments: Amend, and re-refer to Com. on B. & F. Read second time and amended."",""2023-03-13 >> Re-referred to Com. on B. & F."",""2023-04-21 >> In committee: Set, first hearing. Hearing canceled at the request of author."",""2024-01-31 >> Died pursuant to Art. IV, Sec. 10(c) of the Constitution."",""2024-02-01 >> From committee: Filed with the Chief Clerk pursuant to Joint Rule 56.""}"
28,"{""2023-01-09 >> Read first time. To print."",""2023-01-10 >> From printer. May be heard in committee February 9."",""2023-01-26 >> Referred to Com. on BUDGET."",""2023-02-01 >> From committee chair, with author's amendments: Amend, and re-refer to Com. on BUDGET. Read second time and amended."",""2023-02-02 >> Re-referred to Com. on BUDGET."",""2023-03-20 >> Ordered to second reading."",""2023-03-20 >> Assembly Rule 96 suspended. (Ayes 61. Noes 17. Page 732.)"",""2023-03-20 >> Withdrawn from committee."",""2023-03-21 >> Read second time. Ordered to third reading."",""2023-03-23 >> In Senate. Read first time. To Com. on RLS. for assignment."",""2023-03-23 >> Read third time. Passed. Ordered to the Senate. (Ayes 60. Noes 14. Page 864.)"",""2023-04-12 >> Referred to Com. on B. & F.R."",""2024-06-19 >> In committee: Hearing postponed by committee."",""2024-06-20 >> In committee: Hearing postponed by committee."",""2024-06-26 >> In committee: Hearing postponed by committee.""}"
