legislator_id,chamber_id,name,district,party
1,1,"Addis, Dawn",30,Democratic
2,1,"Aguiar-Curry, Cecilia M.",4,Democratic
3,1,"Alanis, Juan",22,Republican
4,2,"Allen, Benjamin",24,Democratic
5,2,"Alvarado-Gil, Marie",4,Democratic
6,1,"Alvarez, David",80,Democratic
7,1,"Arambula, Dr. Joaquin",31,Democratic
8,2,"Archuleta, Bob",30,Democratic
9,2,"Ashby, Angelique V.",8,Democratic
10,2,"Atkins, Toni G.",39,Democratic
11,1,"Bains, Jasmeet",35,Democratic
12,1,"Bauer-Kahan, Rebecca",16,Democratic
13,2,"Becker, Josh",13,Democratic
14,1,"Bennett, Steve",38,Democratic
15,1,"Berman, Marc",23,Democratic
16,2,"Blakespear, Catherine",38,Democratic
17,2,"Bogh, Rosilicie Ochoa",23,Republican
18,1,"Bonta, Mia",18,Democratic
19,2,"Bradford, Steven",35,Democratic
20,1,"Bryan, Isaac G.",55,Democratic
21,2,"Caballero, Anna M.",14,Democratic
22,1,"Calderon, Lisa",56,Democratic
23,1,"Carrillo, Juan",39,Democratic
24,1,"Carrillo, Wendy",52,Democratic
25,1,"Cervantes, Sabrina",58,Democratic
26,1,"Chen, Phillip",59,Republican
27,1,"Connolly, Damon",12,Democratic
28,2,"Cortese, Dave",15,Democratic
29,2,"Dahle, Brian",1,Republican
30,1,"Dahle, Megan",1,Republican
31,1,"Davies, Laurie",74,Republican
32,1,"Dixon, Diane",72,Republican
33,2,"Dodd, Bill",3,Democratic
34,2,"Durazo, María Elena",26,Democratic
35,2,"Eggman, Susan Talamantes",5,Democratic
36,1,"Essayli, Bill",63,Republican
37,1,"Flora, Heath",9,Republican
38,1,"Fong, Mike",49,Democratic
39,1,"Fong, Vince",32,Republican
40,1,"Friedman, Laura",44,Democratic
41,1,"Gabriel, Jesse",46,Democratic
42,1,"Gallagher, James",3,Republican
43,1,"Garcia, Eduardo",36,Democratic
44,1,"Gipson, Mike A.",65,Democratic
45,2,"Glazer, Steven M.",7,Democratic
46,2,"Gonzalez, Lena A.",33,Democratic
47,1,"Grayson, Timothy S.",15,Democratic
48,2,"Grove, Shannon",12,Republican
49,1,"Haney, Matt",17,Democratic
50,1,"Hart, Gregg",37,Democratic
51,1,"Holden, Chris R.",41,Democratic
52,1,"Hoover, Josh",7,Republican
53,1,"Horvath, Tasha Boerner",77,Democratic
54,2,"Hurtado, Melissa",16,Democratic
55,1,"Irwin, Jacqui",42,Democratic
56,1,"Jackson, Corey A.",60,Democratic
57,2,"Jones, Brian W.",40,Republican
58,1,"Jones-Sawyer, Reginald Byron, Sr.",57,Democratic
59,1,"Kalra, Ash",25,Democratic
60,1,"Lackey, Tom",34,Republican
61,2,"Laird, John",17,Democratic
62,1,"Lee, Alex",24,Democratic
63,2,"Limón, Monique",19,Democratic
64,1,"Lowenthal, Josh",69,Democratic
65,1,"Low, Evan",26,Democratic
66,1,"Maienschein, Brian",76,Democratic
67,1,"Mathis, Devon J.",33,Republican
68,1,"McCarty, Kevin",6,Democratic
69,2,"McGuire, Mike",2,Democratic
70,1,"McKinnor, Tina",61,Democratic
71,2,"Menjivar, Caroline",20,Democratic
72,2,"Min, Dave",37,Democratic
73,1,"Muratsuchi, Al",66,Democratic
74,2,"Newman, Josh",29,Democratic
75,2,"Nguyen, Janet",36,Republican
76,1,"Nguyen, Stephanie",10,Democratic
77,2,"Niello, Roger W.",6,Republican
78,1,"Ortega, Liz",20,Democratic
79,1,"Pacheco, Blanca",64,Democratic
80,2,"Padilla, Steve",18,Democratic
81,1,"Papan, Diane",21,Democratic
82,1,"Patterson, Jim",8,Republican
83,1,"Patterson, Joe",5,Republican
84,1,"Pellerin, Gail",28,Democratic
85,1,"Petrie-Norris, Cottie",73,Democratic
86,2,"Portantino, Anthony J.",25,Democratic
87,1,"Quirk-Silva, Sharon",67,Democratic
88,1,"Ramos, James C.",45,Democratic
89,1,"Rendon, Anthony",62,Democratic
90,1,"Reyes, Eloise Gómez",50,Democratic
91,1,"Rivas, Luz M.",43,Democratic
92,1,"Rivas, Robert",29,Democratic
93,1,"Rodriguez, Freddie",53,Democratic
94,2,"Roth, Richard D.",31,Democratic
95,1,"Rubio, Blanca E.",48,Democratic
96,2,"Rubio, Susan",22,Democratic
97,1,"Sanchez, Kate",71,Republican
98,1,"Santiago, Miguel",54,Democratic
99,1,"Schiavo, Pilar",40,Democratic
100,2,"Seyarto, Kelly",32,Republican
101,2,"Skinner, Nancy",9,Democratic
102,2,"Smallwood-Cuevas, Lola",28,Democratic
103,1,"Soria, Esmeralda",27,Democratic
104,2,"Stern, Henry I.",27,Democratic
105,1,"Ta, Tri",70,Republican
106,1,"Ting, Philip Y.",19,Democratic
107,2,"Umberg, Thomas J.",34,Democratic
108,1,"Valencia, Avelino",68,Democratic
109,1,"Villapudua, Carlos",13,Democratic
110,2,"Wahab, Aisha",10,Democratic
111,1,"Waldron, Marie",75,Republican
112,1,"Wallis, Greg",47,Republican
113,1,"Ward, Christopher M.",78,Democratic
114,1,"Weber, Akilah, M.D.",79,Democratic
115,1,"Wicks, Buffy",14,Democratic
116,2,"Wiener, Scott D.",11,Democratic
117,2,"Wilk, Scott",21,Republican
118,1,"Wilson, Lori D.",11,Democratic
119,1,"Wood, Jim",2,Democratic
120,1,"Zbur, Rick Chavez",51,Democratic
